[2025-08-12 10:31:19] [INFO    ] discord.client: logging in using static token
[2025-08-12 10:31:19] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-12 10:31:19] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-12 10:31:19] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1404307063005384816', 'username': 'gif-bot', 'avatar': None, 'discriminator': '2819', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-12 10:31:19] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-12 10:31:19] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-12 10:31:19] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1404307063005384816', 'name': 'gif-bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1404307063005384816', 'username': 'gif-bot', 'avatar': None, 'discriminator': '2819', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '057d318a700716784365ca5a31adfcba93de4cd95fede1a10a2f4ceee385584b', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1083543207322865785', 'username': 'hojeongkim03', 'avatar': 'b3110ef5f85f9c61583248e24e8a4090', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 6091936, 'global_name': 'hojeongkim', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#5cf4a0', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-08-12 10:31:20] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-12 10:31:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-s8gv",{"micros":0.0}]']}}
[2025-08-12 10:31:20] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-12 10:31:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-12 10:31:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'gif-bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1404307063005384816', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2819', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'aaac65a7492cd53bd3e04699851cfca5', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1379303073150664744'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['south-korea', 'japan', 'hongkong', 'singapore', 'india'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1404307063005384816', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-s8gv",{"micros":72835,"calls":["id_created",{"micros":344,"calls":[]},"session_lookup_time",{"micros":1519,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-55",{"micros":69931,"calls":["start_session",{"micros":67198,"calls":["discord-api-rpc-75498cb879-665pm",{"micros":52257,"calls":["get_user",{"micros":11696},"get_guilds",{"micros":4936},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":1},"authorized_ip_coro",{"micros":7},"pending_payments",{"micros":6252},"apex_experiments",{"micros":2788},"user_activities",{"micros":3},"played_application_ids",{"micros":1}]}]},"starting_guild_connect",{"micros":27,"calls":[]},"presence_started",{"micros":823,"calls":[]},"guilds_started",{"micros":57,"calls":[]},"lobbies_started",{"micros":2,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":1803,"calls":[]},"connect_finished",{"micros":1807,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-08-12 10:31:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-12 10:31:20] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: aaac65a7492cd53bd3e04699851cfca5).
[2025-08-12 10:31:20] [DEBUG   ] discord.client: Dispatching event connect
[2025-08-12 10:31:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_features': None, 'presences': [], 'stickers': [], 'discovery_splash': None, 'safety_alerts_channel_id': None, 'embedded_activities': [], 'channels': [{'version': 1748921879007, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': '채팅 채널', 'id': '1379303073784270949', 'flags': 0}, {'version': 1748921879017, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': '음성 채널', 'id': '1379303073784270950', 'flags': 0}, {'version': 1748921879029, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1379303073784270949', 'name': '일반', 'last_message_id': '1404636853822558350', 'id': '1379303073784270952', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1748921879040, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1379303073784270950', 'name': '일반', 'last_message_id': None, 'id': '1379303073784270953', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'preferred_locale': 'en-US', 'unavailable': False, 'vanity_url_code': None, 'profile': None, 'system_channel_id': '1379303073784270952', 'lazy': True, 'voice_states': [], 'max_stage_video_channel_users': 50, 'emojis': [], 'region': 'deprecated', 'id': '1379303073150664744', 'name': 'kim', 'afk_channel_id': None, 'system_channel_flags': 0, 'moderator_reporting': None, 'roles': [{'version': 1748921878997, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1379303073150664744', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1754961511599, 'unicode_emoji': None, 'tags': {'bot_id': '1404307063005384816'}, 'position': 2, 'permissions': '563276639759424', 'name': 'gif-bot', 'mentionable': False, 'managed': True, 'id': '1404394531561934900', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1754961517831, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'gamer', 'mentionable': False, 'managed': False, 'id': '1404634955761324062', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}], 'rules_channel_id': None, 'max_members': 25000000, 'application_command_counts': {}, 'threads': [], 'guild_scheduled_events': [], 'activity_instances': [], 'owner_id': '1083543207322865785', 'hub_type': None, 'member_count': 2, 'icon': None, 'large': False, 'premium_tier': 0, 'nsfw_level': 0, 'description': None, 'splash': None, 'stage_instances': [], 'max_video_channel_users': 25, 'nsfw': False, 'soundboard_sounds': [], 'default_message_notifications': 0, 'features': [], 'latest_onboarding_question_id': None, 'incidents_data': None, 'banner': None, 'explicit_content_filter': 0, 'verification_level': 0, 'afk_timeout': 300, 'inventory_settings': None, 'public_updates_channel_id': None, 'premium_subscription_count': 0, 'version': 1754961451667, 'owner_configured_content_level': 0, 'members': [{'user': {'username': 'gif-bot', 'public_flags': 0, 'primary_guild': None, 'id': '1404307063005384816', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2819', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1404394531561934900'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-11T09:22:28.738000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'application_id': None, 'premium_progress_bar_enabled': False, 'mfa_level': 0, 'joined_at': '2025-08-11T09:22:28.738000+00:00', 'home_header': None}}
[2025-08-12 10:31:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-12 10:31:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'a489867871e22df5e2bc3808d2e08ee9', 'members': [{'user': {'username': 'hojeongkim03', 'public_flags': 0, 'primary_guild': None, 'id': '1083543207322865785', 'global_name': 'hojeongkim', 'display_name_styles': None, 'display_name': 'hojeongkim', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'b3110ef5f85f9c61583248e24e8a4090'}, 'roles': ['1404634955761324062'], 'premium_since': None, 'pending': False, 'nick': 'hjkim', 'mute': False, 'joined_at': '2025-06-03T03:37:58.880000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'gif-bot', 'public_flags': 0, 'primary_guild': None, 'id': '1404307063005384816', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2819', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1404394531561934900'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-11T09:22:28.738000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1379303073150664744', 'chunk_index': 0, 'chunk_count': 1}}
[2025-08-12 10:31:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-12 10:31:20] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1379303073150664744.
[2025-08-12 10:31:22] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-08-12 10:31:22] [DEBUG   ] discord.client: Dispatching event ready
[2025-08-12 10:31:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '1083543207322865785', 'timestamp': 1754962285, 'member': {'user': {'username': 'hojeongkim03', 'public_flags': 0, 'primary_guild': None, 'id': '1083543207322865785', 'global_name': 'hojeongkim', 'display_name_styles': None, 'display_name': 'hojeongkim', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'b3110ef5f85f9c61583248e24e8a4090'}, 'roles': ['1404634955761324062'], 'premium_since': None, 'pending': False, 'nick': 'hjkim', 'mute': False, 'joined_at': '2025-06-03T03:37:58.880000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1379303073784270952', 'guild_id': '1379303073150664744'}}
[2025-08-12 10:31:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-12 10:31:25] [DEBUG   ] discord.client: Dispatching event typing
[2025-08-12 10:31:25] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-08-12 10:31:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-12T01:31:29.378000+00:00', 'pinned': False, 'nonce': '1404638390330064896', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1404634955761324062'], 'premium_since': None, 'pending': False, 'nick': 'hjkim', 'mute': False, 'joined_at': '2025-06-03T03:37:58.880000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1404638391185965106', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!secret', 'components': [], 'channel_type': 0, 'channel_id': '1379303073784270952', 'author': {'username': 'hojeongkim03', 'public_flags': 0, 'primary_guild': None, 'id': '1083543207322865785', 'global_name': 'hojeongkim', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'b3110ef5f85f9c61583248e24e8a4090'}, 'attachments': [], 'guild_id': '1379303073150664744'}}
[2025-08-12 10:31:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-12 10:31:29] [DEBUG   ] discord.client: Dispatching event message
[2025-08-12 10:31:29] [DEBUG   ] discord.client: Dispatching event command
[2025-08-12 10:31:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-12T01:31:29.787000+00:00', 'pinned': False, 'nonce': '14910584736021881886', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1404394531561934900'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-11T09:22:28.738000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1404638392901304382', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Welcome to the club!', 'components': [], 'channel_type': 0, 'channel_id': '1379303073784270952', 'author': {'username': 'gif-bot', 'public_flags': 0, 'primary_guild': None, 'id': '1404307063005384816', 'global_name': None, 'display_name_styles': None, 'discriminator': '2819', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1379303073150664744'}}
[2025-08-12 10:31:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-12 10:31:29] [DEBUG   ] discord.client: Dispatching event message
[2025-08-12 10:31:29] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1379303073784270952/messages with {"content":"Welcome to the club!","components":[],"nonce":"14910584736021881886","enforce_nonce":true,"tts":false} has returned 200
[2025-08-12 10:31:29] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-08-12 10:31:29] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1379303073784270952/messages has received {'type': 0, 'content': 'Welcome to the club!', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-08-12T01:31:29.787000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1404638392901304382', 'channel_id': '1379303073784270952', 'author': {'id': '1404307063005384816', 'username': 'gif-bot', 'avatar': None, 'discriminator': '2819', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '14910584736021881886'}
[2025-08-12 10:31:29] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-08-12 10:31:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBER_UPDATE', 's': 7, 'op': 0, 'd': {'user': {'username': 'hojeongkim03', 'public_flags': 0, 'primary_guild': None, 'id': '1083543207322865785', 'global_name': 'hojeongkim', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'b3110ef5f85f9c61583248e24e8a4090'}, 'unusual_dm_activity_until': None, 'roles': [], 'premium_since': None, 'pending': False, 'nick': 'hjkim', 'joined_at': '2025-06-03T03:37:58.880000+00:00', 'guild_id': '1379303073150664744', 'flags': 0, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}}
[2025-08-12 10:31:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-12 10:31:50] [DEBUG   ] discord.client: Dispatching event member_update
